,Price,Posting_Date,URL,Description,Rooms_and_Sqft,Nearby_Location
63,$1350,Tue 03 Dec 01:16:57 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-spacious-3bd-15ba/7024610688.html,Spacious 3BD/1.5BA available now at 4712 Chestnut St!,3br -, (West Philadelphia)
64,$1240,Tue 03 Dec 01:05:22 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-available-now-1-bedroom/7031411028.html,Available NOW! 1 Bedroom Apartment at Castle Hill!,1br -, (University City)
65,$3500,Tue 03 Dec 12:52:51 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-ready-set-hamco/7031429566.html,"Ready, Set, HAMCO","3br -
                    1310ft2 -", (101 S. 39th Street - UPENN)
66,$675,Tue 03 Dec 12:47:53 PM,https://philadelphia.craigslist.org/roo/d/philadelphia-room-for-rent-january-3rd/7029245953.html,Room For Rent -- January 3rd,, (University City)
67,$1600,Tue 03 Dec 12:43:38 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-spring-move-in-drexelu-3/7031447705.html,"SPRING MOVE IN! DREXELU 3 BED 2 BATH APT, W/D, C/A & MORE!!!!!!!!!!!!",3br -, (3407 Wallace St > DREXEL > UNIVERSITY CITY)
68,$1665,Tue 03 Dec 12:38:22 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-one-bedroom-with/7023896807.html,Beautiful One Bedroom with City Views,582ft2 -,
69,$995,Tue 03 Dec 12:30:00 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-dont-miss-out-wondrous-2bd/7031435869.html,Don't Miss Out! Wondrous 2BD With New Hardwoods & Porch,2br -, (West Philadelphia)
70,$3795,Tue 03 Dec 12:21:21 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-fomo-alert-click-here/7031421094.html,:: FOMO ALERT ::  CLICK HERE,"3br -
                    1310ft2 -", (101 S. 39th Street - University City)
71,$625,Tue 03 Dec 12:03:28 PM,https://philadelphia.craigslist.org/sub/d/philadelphia-penn-campus-40th-and/7031412647.html,Penn Campus - 40th and Sansom Streets - Sublet,"1br -
                    120ft2 -", (University City/West Philadelphia)
72,$550,Tue 03 Dec 12:02:18 PM,https://philadelphia.craigslist.org/apa/d/philadelphia-luxury-bedroom-in-4-bed-2/7031336751.html,"LUXURY BEDROOM in a 4 bed 2 ba apt, C/A, W/D & MORE!4001 Baring St #1",4br -, (4001 Baring St>UPenn>Drexel>West Powelton>Philadelphia)
73,$1000,Tue 03 Dec 11:59:22 AM,https://philadelphia.craigslist.org/sub/d/philadelphia-impeccably-furnished-apt/7024223544.html,IMPECCABLY FURNISHED APT unique/comfortable/remodeled 1 Bed +1 Bath,"1br -
                    700ft2 -"," (Philadelphia, PA)"
74,$1299,Tue 03 Dec 11:59:31 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-sun-drenched-4-bed-1-bath/7031405190.html,"SUN DRENCHED 4 BED 1 BATH! C/A, W/D, H/W FLOOR & MORE! CALL NOW!!!!!!!",4br -, (621 N 33rd St>POWELTON>DREXEL>UPENN)
75,$1914,Tue 03 Dec 11:39:45 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for-1b/7028055463.html,1 Month Free rent for 1B/1BR 6 months or more for November 20,"1br -
                    696ft2 -",
76,$625,Tue 03 Dec 11:36:16 AM,https://philadelphia.craigslist.org/roo/d/philadelphia-penn-and-drexel-campus/7031389773.html,Penn and Drexel Campus - 40th and Sansom Streets,150ft2 -, (University City/West Philadelphia)
77,$3795,Tue 03 Dec 11:32:57 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-prevent-the-burn-out-come/7031356596.html,Prevent the burn out â¦.  Come to HAMCO ð¥ð¥,"3br -
                    1310ft2 -", (101 S. 39th Street - UPENN)
78,$3095,Tue 03 Dec 11:22:30 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-you-asked-we-delivered/7031370498.html,You [ASKED]    ð¥   We [Delivered]    ð¥  HamCo Is Here For You!   ð¥,"2br -
                    1100ft2 -", (101 S. 39th Street - University City)
79,$700,Tue 03 Dec 11:15:36 AM,https://philadelphia.craigslist.org/roo/d/philadelphia-1-bedroom-in-5-bdrm-house/7031373049.html,1 Bedroom in 5 Bdrm House near UPENN and Universities,, (UCity)
80,$409900,Tue 03 Dec 11:08:20 AM,https://philadelphia.craigslist.org/reb/d/philadelphia-buy-now-terrific-multi/7031367089.html,BUY NOW! Terrific Multi-Unit Bldg with Modern Features,, (Belmont)
81,$1990,Tue 03 Dec 11:06:00 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for-1b/7027688559.html,1 Month Free rent for 1B/1BR 6 months or more for November 2019,"1br -
                    752ft2 -",
82,$3095,Tue 03 Dec 11:01:29 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-big-news-hamco/7031354029.html,ð¯ BIG NEWS: HamCo,"2br -
                    1100ft2 -", (101 S. 39th Street - UPENN)
83,$5795,Tue 03 Dec 10:59:37 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-hamco-just-got-waaaaaaaay/7031355590.html,HamCo just got WAAAAAAAAY better! ð¯,"5br -
                    1610ft2 -", (101 S. 39th Street - University City)
84,$2000,Tue 03 Dec 10:56:32 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-pet-friendly-carriage/7017751603.html,Pet Friendly Carriage House June 2020,2br -, (University City)
85,$350,Tue 03 Dec 10:48:40 AM,https://philadelphia.craigslist.org/roo/d/philadelphia-master-bedroom-master-bath/7029648615.html,"Master bedroom & Master Bath, Furnished and spacious",1200ft2 -, (4700 Lancaster Avenue)
86,$5795,Tue 03 Dec 10:49:11 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-check-out-hamco-things-are/7031338032.html,ð¥ð¥Check out HamCoâ¦ Things are HEATING UPð¥ð¥,"5br -
                    1610ft2 -", (101 S. 39th Street - University City)
87,$2995,Tue 03 Dec 10:47:18 AM,https://philadelphia.craigslist.org/reb/d/philadelphia-gorgeous-university-city-5/7031350932.html,Gorgeous University City 5 Bedroom (Penn Alexander Catchment),,
88,$2995,Tue 03 Dec 10:42:28 AM,https://philadelphia.craigslist.org/reb/d/philadelphia-gorgeous-university-city-5/7031347582.html,Gorgeous University City 5 Bedroom (Penn Alexander Catchment),,
89,$620,Tue 03 Dec 10:41:03 AM,https://philadelphia.craigslist.org/roo/d/philadelphia-bedroom-available-now-in/7026504067.html,"Bedroom available now in university city, close to upenn, drexel",200ft2 -, (44th street and Locust street)
90,$550,Tue 03 Dec 10:40:39 AM,https://philadelphia.craigslist.org/roo/d/philadelphia-bedroom-available-now-in/7028656311.html,"Bedroom available now in university city, near Upenn, Drexel",130ft2 -, (44th street and Locust street)
91,$650,Tue 03 Dec 10:40:56 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-studio-available-in/7028669921.html,"Studio available in university city from 1/1/2020, near Upenn, Drexel","1br -
                    220ft2 -",
92,$1945,Tue 03 Dec 10:37:15 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for-1b/7031343750.html,1 Month Free rent for 1B/1BR 6 months or more for December 2019,"1br -
                    692ft2 -",
93,$1750,Tue 03 Dec 10:30:20 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-dont-miss-out-gigantic-2bd/7031338809.html,Don't Miss Out! Gigantic 2BD with Great Kitchen - Ideal Location!,2br -, (West Powelton)
94,$1945,Tue 03 Dec 10:27:37 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for-1b/7025043697.html,1 Month Free rent for 1B/1BR 6 months or more for November 2019,"1br -
                    692ft2 -",
95,$1099,Tue 03 Dec 10:27:12 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-price-drop-drexel-upenn-2/7031336662.html,"PRICE DROP! DREXEL/UPENN 2 Bed 1 Bath w/W/D, C/A & MORE!!",2br -, (3407 Wallace St > DREXEL > UNIVERSITY CITY)
96,$1215,Tue 03 Dec 10:25:00 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-lavish-studio-1ba-with-new/7031335114.html,Lavish Studio/1BA with New Kitchen & Huge Windows - 1 Mos Rent is FREE,, (University City)
97,$1225,Tue 03 Dec 10:19:02 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-freshly-rehabbed-studio/7031331057.html,Freshly Rehabbed Studio with High Ceilings - ONE MONTH FREE,, (University City)
98,$1695,Tue 03 Dec 10:12:25 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-lease-now-impressive/7031326699.html,Lease Now: Impressive Renovated 2BD Apt Near Public Transportation!,2br -, (University City)
99,$1695,Tue 03 Dec 10:11:26 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-alluring-university-city/7031326027.html,Alluring University City 2BD Apartment with Lovely Kitchen - Pets OK!,2br -, (University City)
100,$1000,Tue 03 Dec 09:56:37 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-walk-to-penn-drexel-yard/7031315893.html,Walk to PENN & DREXEL | YARD!!  Entire row home in UNIVERSITY CITY!!!,"2br -
                    900ft2 -", (University City)
101,$1685,Tue 03 Dec 09:48:41 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for/7023657197.html,1 Month Free rent for leases 6 months or more for November 2019,427ft2 -,
102,$1250,Tue 03 Dec 09:34:17 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-two-spacious-bedrooms-in/7027364832.html,TWO SPACIOUS BEDROOMS IN UNIVERSITY CITY AREA,2br -, (UNIVERSITY CITY)
103,$1685,Tue 03 Dec 09:30:02 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-1-month-free-rent-for/7031298768.html,1 Month Free rent for leases 6 months or more for December 2019,427ft2 -,
104,$1685,Tue 03 Dec 09:17:48 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-studio-1-month-free-36th/7021286382.html,Studio 1- Month Free- 36th and Market University City,427ft2 -,
105,$1720,Tue 03 Dec 09:14:50 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-available-for-lease/7031290162.html,Available for Lease: Excellent 2BD w. Hardwood Floors- University City,2br -, (University City)
106,$1720,Tue 03 Dec 09:15:42 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-move-in-now-wondrous-2bdrm/7031290632.html,Move in NOW: Wondrous 2BDRM with Modern Updates - Pets are OK!,2br -, (University City)
107,$1115,Tue 03 Dec 08:56:02 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-excellent-place-wonderful/7031280611.html,Excellent Place! Wonderful Studio w. Leasing Special - Avail. January!,, (University City)
108,$600,Tue 03 Dec 08:54:49 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-nice-clean-apartment-one/7031254685.html,$________Nice & Clean Apartment One Bed || One Bath _________$,," (Philadelphia, PA)"
109,$1115,Tue 03 Dec 08:54:33 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-marvelous-studio-apt-in/7031279970.html,Marvelous Studio Apt in University City with ONE MONTH FREE - January,, (University City)
110,$350,Tue 03 Dec 08:40:57 AM,https://philadelphia.craigslist.org/roo/d/philadelphia-university-city-room-for/7031245137.html,University City Room for rent close to Drexel and UPenn University,,
111,$950,Tue 03 Dec 08:02:55 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-camelot-apartments-studio/7022247117.html,Camelot Apartments - STUDIO  - Walk to Drexel & UPenn,500ft2 -, (University City / Powelton Village)
112,$1895,Tue 03 Dec 08:03:28 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-beautiful-renovated-2br-in/7031260308.html,Beautiful renovated 2Br In Prime Location!  Private Balcony!,"2br -
                    1000ft2 -", (University City/ UPENN)
113,$553,Tue 03 Dec 07:49:21 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-look-no-further-3-bed-35/7029385408.html,LOOK NO FURTHER!! 3 Bed 3.5 Bath with Ample Storage Space!!!,"3br -
                    1675ft2 -", (Philadelphia)
114,$580,Tue 03 Dec 05:48:16 AM,https://philadelphia.craigslist.org/apa/d/philadelphia-looking-for-roommate-5br/7027316073.html,"looking for roommate 5BR/2BA apt near University City. Drexel, upenn","5br -
                    500ft2 -"," (university City. Drexel, upenn)"
